Source,Target,Type,Weight,npmi
pergunta,objeto,Undirected,11.00,0.1660
pergunta,mundo,Undirected,7.00,0.2506
pergunta,latour,Undirected,3.00,-0.0004
pergunta,tecnologia,Undirected,3.00,0.0601
pergunta,metodo,Undirected,3.00,0.0118
pergunta,ontologia,Undirected,3.00,0.1300
pergunta,pratica,Undirected,8.00,0.1662
pergunta,etnografia,Undirected,8.00,0.1449
pergunta,maquina,Undirected,6.00,0.1364
pergunta,claude,Undirected,4.00,-0.0133
pergunta,pesquisa,Undirected,16.00,0.1299
pergunta,dado,Undirected,6.00,0.1191
pergunta,licao,Undirected,4.00,0.2046
pergunta,precisamente,Undirected,6.00,0.2234
pergunta,cientista,Undirected,4.00,0.1068
pergunta,computacao,Undirected,10.00,0.3138
pergunta,ciencia,Undirected,8.00,0.0682
pergunta,campo,Undirected,4.00,0.0016
politica,metodo,Undirected,6.00,0.1852
politica,cientifico,Undirected,6.00,0.2560
politica,social,Undirected,6.00,0.2715
politica,ciencia,Undirected,34.00,0.4285
politica,etnografia,Undirected,4.00,0.1289
politica,licao,Undirected,4.00,0.2846
politica,pesquisa,Undirected,6.00,0.0730
politica,campo,Undirected,12.00,0.2474
licao,pesquisa,Undirected,16.00,0.2138
licao,campo,Undirected,4.00,0.0911
licao,conhecimento,Undirected,6.00,0.2007
licao,letramento,Undirected,4.00,0.1948
licao,etnografia,Undirected,6.00,0.1970
licao,pesquisador,Undirected,6.00,0.1177
licao,descreve,Undirected,4.00,0.2625
licao,ciencia,Undirected,6.00,0.1231
precisamente,maquina,Undirected,10.00,0.2323
precisamente,humano,Undirected,6.00,0.1141
precisamente,sistemas,Undirected,6.00,0.2477
precisamente,claude,Undirected,10.00,0.1640
precisamente,tecnica,Undirected,4.00,0.1792
precisamente,composicao,Undirected,4.00,0.0581
precisamente,opera,Undirected,4.00,0.1943
precisamente,actante,Undirected,4.00,0.1210
precisamente,parte,Undirected,4.00,0.1536
precisamente,ciencia,Undirected,6.00,0.0798
precisamente,latour,Undirected,4.00,0.0827
precisamente,descreve,Undirected,6.00,0.2843
precisamente,pratica,Undirected,4.00,0.1167
relacoes,entidades,Undirected,3.00,0.1622
relacoes,significa,Undirected,4.00,0.2496
relacoes,objeto,Undirected,4.00,0.0716
relacoes,campo,Undirected,9.00,0.1641
relacoes,inscricao,Undirected,4.00,0.1723
relacoes,actante,Undirected,6.00,0.1788
relacoes,modelo,Undirected,10.00,0.1646
relacoes,etnografia,Undirected,8.00,0.1976
relacoes,diagrama,Undirected,4.00,0.1657
relacoes,rede,Undirected,6.00,0.0518
relacoes,construcao,Undirected,4.00,0.1426
relacoes,processo,Undirected,4.00,0.1943
relacoes,revelou,Undirected,6.00,0.2898
relacoes,conhecimento,Undirected,4.00,0.1595
relacoes,producao,Undirected,4.00,0.2496
modelo,dado,Undirected,14.00,0.1036
modelo,decisoes,Undirected,10.00,0.1595
modelo,humano,Undirected,8.00,-0.0359
modelo,processo,Undirected,10.00,0.1114
modelo,construcao,Undirected,10.00,0.0550
modelo,linguagem,Undirected,84.00,0.5475
modelo,tecnicas,Undirected,4.00,0.0557
modelo,existe,Undirected,4.00,0.0673
modelo,condicao,Undirected,8.00,0.1071
modelo,ontologia,Undirected,4.00,0.0415
modelo,pesquisador,Undirected,56.00,0.2421
modelo,entidades,Undirected,4.00,0.0265
modelo,composicao,Undirected,14.00,0.0395
modelo,latour,Undirected,4.00,-0.0935
modelo,diagrama,Undirected,6.00,0.0406
modelo,claude,Undirected,32.00,0.1475
modelo,objeto,Undirected,8.00,-0.0226
modelo,treinamento,Undirected,10.00,0.2073
modelo,relacao,Undirected,4.00,0.0223
modelo,acesso,Undirected,6.00,0.0750
modelo,actante,Undirected,4.00,-0.0551
modelo,escrita,Undirected,4.00,-0.0166
modelo,parte,Undirected,8.00,0.0670
modelo,termos,Undirected,8.00,0.1253
modelo,pesquisa,Undirected,8.00,-0.1131
modelo,colaboracao,Undirected,6.00,0.0406
modelo,tecnica,Undirected,6.00,0.0548
modelo,infraestrutura,Undirected,8.00,0.1585
modelo,spira,Undirected,6.00,0.1161
modelo,parciais,Undirected,4.00,0.0104
modelo,computacao,Undirected,4.00,0.0403
modelo,ciencia,Undirected,4.00,-0.1493
modelo,computacional,Undirected,6.00,0.0841
modelo,politicas,Undirected,4.00,0.0452
mundo,objeto,Undirected,10.00,0.1979
mundo,latour,Undirected,4.00,0.1085
mundo,tecnologia,Undirected,3.00,0.1317
mundo,composicao,Undirected,4.00,0.0840
mundo,inscricao,Undirected,3.00,0.1578
mundo,associacao,Undirected,3.00,0.1578
mundo,condicao,Undirected,6.00,0.2790
mundo,produz,Undirected,4.00,0.2633
mundo,produzem,Undirected,4.00,0.2962
mundo,campo,Undirected,4.00,0.0757
mundo,instrumentos,Undirected,4.00,0.2375
mundo,existe,Undirected,4.00,0.2692
mundo,social,Undirected,6.00,0.2653
tecnico,objeto,Undirected,6.00,0.0375
tecnico,torna,Undirected,8.00,0.2153
tecnico,spira,Undirected,16.00,0.3584
tecnico,pesquisa,Undirected,8.00,-0.0137
tecnico,termos,Undirected,4.00,0.1221
tecnico,letramento,Undirected,80.00,0.6761
tecnico,condicao,Undirected,10.00,0.2432
tecnico,cientista,Undirected,8.00,0.1680
tecnico,social,Undirected,16.00,0.3126
tecnico,rede,Undirected,4.00,-0.0848
tecnico,conhecimento,Undirected,22.00,0.3537
tecnico,inteligencia,Undirected,8.00,0.1048
tecnico,artificial,Undirected,12.00,0.1758
tecnico,centro,Undirected,4.00,0.0525
tecnico,etnografia,Undirected,4.00,0.0121
tecnico,sociais,Undirected,6.00,0.0838
tecnico,problema,Undirected,6.00,0.1897
ciencia,cientista,Undirected,3.00,-0.0623
ciencia,latour,Undirected,18.00,0.0583
ciencia,acao,Undirected,17.00,0.2400
ciencia,sociais,Undirected,100.00,0.5029
ciencia,tecnologia,Undirected,27.00,0.2491
ciencia,significa,Undirected,9.00,0.1807
ciencia,conhecimento,Undirected,13.00,0.1369
ciencia,humano,Undirected,3.00,-0.1548
ciencia,construcao,Undirected,41.00,0.3106
ciencia,pesquisa,Undirected,21.00,0.0056
ciencia,dado,Undirected,44.00,0.2966
ciencia,condicao,Undirected,4.00,0.0056
ciencia,condicoes,Undirected,6.00,0.1266
ciencia,producao,Undirected,8.00,0.1623
ciencia,instrumentos,Undirected,8.00,0.1209
ciencia,inscricao,Undirected,4.00,-0.0125
ciencia,diagrama,Undirected,4.00,-0.0190
ciencia,campo,Undirected,12.00,-0.0023
ciencia,pesquisador,Undirected,12.00,-0.0348
ciencia,etnografia,Undirected,10.00,0.0261
ciencia,computacao,Undirected,18.00,0.2159
ciencia,inteligencia,Undirected,4.00,-0.0876
ciencia,artificial,Undirected,8.00,-0.0328
ciencia,metodo,Undirected,4.00,-0.0894
ciencia,objeto,Undirected,14.00,0.0452
ciencia,torna,Undirected,12.00,0.1690
ciencia,social,Undirected,14.00,0.1448
ciencia,computacional,Undirected,4.00,0.0223
ciencia,parte,Undirected,6.00,0.0188
ciencia,tecnica,Undirected,10.00,0.1184
ciencia,tecnociencia,Undirected,8.00,0.1935
ciencia,termos,Undirected,4.00,0.0223
generativa,inteligencia,Undirected,8.00,0.2322
generativa,artificial,Undirected,12.00,0.3105
generativa,distribuida,Undirected,4.00,0.2434
generativa,sistemas,Undirected,12.00,0.4050
generativa,claude,Undirected,10.00,0.1644
generativa,colaboracao,Undirected,6.00,0.2593
generativa,metodo,Undirected,4.00,0.1271
generativa,pratica,Undirected,4.00,0.1484
generativa,composicao,Undirected,6.00,0.1461
generativa,dado,Undirected,6.00,0.2033
generativa,etnografia,Undirected,4.00,0.1289
generativa,pesquisa,Undirected,4.00,0.0204
acesso,pesquisa,Undirected,8.00,0.0647
acesso,dado,Undirected,3.00,0.0623
acesso,analise,Undirected,3.00,0.1320
acesso,politicas,Undirected,4.00,0.2081
acesso,constituem,Undirected,6.00,0.3143
acesso,claude,Undirected,6.00,0.0745
acesso,condicoes,Undirected,10.00,0.3979
acesso,problema,Undirected,6.00,0.2653
acesso,diagrama,Undirected,6.00,0.2120
acesso,colaboracao,Undirected,4.00,0.1525
acesso,parte,Undirected,4.00,0.1404
acesso,conhecimento,Undirected,6.00,0.2055
acesso,percurso,Undirected,6.00,0.2874
acesso,tecnicas,Undirected,4.00,0.2187
