Id,Label,community,frequency,degree_weighted,betweenness,pagerank
pergunta,pergunta,0,39,114.0000,0.000000,0.008179
politica,politica,1,20,78.0000,0.004638,0.005929
licao,licao,0,20,60.0000,0.000000,0.004868
precisamente,precisamente,2,26,78.0000,0.000206,0.006052
relacoes,relacoes,0,26,80.0000,0.000000,0.006237
modelo,modelo,2,112,390.0000,0.062410,0.023961
mundo,mundo,0,21,66.0000,0.000000,0.005547
tecnico,tecnico,5,53,222.0000,0.032931,0.014348
ciencia,ciencia,1,123,528.0000,0.249639,0.032602
generativa,generativa,5,20,80.0000,0.002680,0.005967
acesso,acesso,0,29,82.0000,0.001237,0.006787
pesquisador,pesquisador,2,125,382.0000,0.116917,0.023512
diagrama,diagrama,1,38,117.0000,0.002165,0.008815
tecnica,tecnica,2,34,88.0000,0.000000,0.006758
letramento,letramento,5,42,192.0000,0.007473,0.012582
instituicao,instituicao,3,39,127.0000,0.015718,0.008970
modos,modos,0,21,66.0000,0.000000,0.005509
diferentes,diferentes,0,30,67.0000,0.001443,0.005631
existencias,existencias,3,32,150.0000,0.018553,0.010780
revelou,revelou,0,23,91.0000,0.000000,0.006913
inteligencia,inteligencia,5,67,358.0000,0.037724,0.020413
decisoes,decisoes,3,27,105.0000,0.001855,0.007667
actante,actante,2,55,155.0000,0.029788,0.010906
relacao,relacao,2,29,67.0000,0.000206,0.005635
escrita,escrita,2,40,237.0000,0.014430,0.014493
colaboracao,colaboracao,1,38,142.0000,0.007782,0.010028
mediacoes,mediacoes,0,19,76.0000,0.006700,0.006231
opera,opera,2,30,100.0000,0.010101,0.007344
computacional,computacional,3,27,80.0000,0.003504,0.006434
analise,analise,1,33,61.0000,0.000000,0.005098
entidades,entidades,3,29,87.0000,0.010307,0.006613
tecnociencia,tecnociencia,4,15,72.0000,0.000000,0.005461
ontologia,ontologia,2,25,63.0000,0.000618,0.005249
spira,spira,5,21,68.0000,0.000825,0.005508
construcao,construcao,1,46,221.0000,0.018450,0.013812
latour,latour,4,77,179.0000,0.049165,0.012434
social,social,1,35,140.0000,0.008246,0.009681
percurso,percurso,0,21,66.0000,0.000000,0.005379
treinamento,treinamento,1,19,72.0000,0.004329,0.005528
significa,significa,1,19,67.0000,0.000000,0.005437
processo,processo,2,30,89.0000,0.000000,0.006491
descricao,descricao,3,17,57.0000,0.000000,0.005060
tecnologia,tecnologia,1,45,81.0000,0.005154,0.006452
simetria,simetria,3,22,100.0000,0.026283,0.007668
pratica,pratica,0,57,197.0000,0.021954,0.013188
cientifico,cientifico,1,39,63.0000,0.002886,0.005590
faire,faire,4,20,80.0000,0.001649,0.006487
inscricao,inscricao,1,36,99.0000,0.003453,0.007809
existencia,existencia,3,30,177.0000,0.011132,0.012336
etnografia,etnografia,0,67,267.0000,0.022573,0.017322
instrumentos,instrumentos,1,26,88.0000,0.006597,0.007062
parciais,parciais,3,32,142.0000,0.003504,0.010226
descreve,descreve,4,24,102.0000,0.000206,0.007643
associacao,associacao,4,36,126.0000,0.014086,0.009311
politicas,politicas,1,24,55.0000,0.000515,0.005123
existe,existe,2,20,100.0000,0.000000,0.007318
trata,trata,0,19,36.0000,0.000000,0.003858
agencia,agencia,4,44,200.0000,0.028654,0.013761
objeto,objeto,0,84,313.0000,0.104927,0.020366
centro,centro,0,48,144.0000,0.030509,0.009488
condicoes,condicoes,0,18,60.0000,0.000412,0.005198
produzem,produzem,0,16,86.0000,0.001237,0.006865
tecnicas,tecnicas,0,22,69.0000,0.001237,0.005784
artificial,artificial,5,63,332.0000,0.020614,0.018975
linguagem,linguagem,2,42,170.0000,0.011750,0.010814
teoria,teoria,4,24,130.0000,0.004741,0.008778
sociais,sociais,1,58,246.0000,0.056277,0.015567
conhecimento,conhecimento,0,40,177.0000,0.038136,0.012306
campo,campo,0,99,230.0000,0.011544,0.015087
laboratorio,laboratorio,1,46,126.0000,0.008864,0.008963
cientista,cientista,1,43,179.0000,0.013193,0.011845
acao,acao,4,23,105.0000,0.031334,0.008141
composicao,composicao,2,94,367.0000,0.069676,0.022199
condicao,condicao,2,31,90.0000,0.001340,0.006945
pesquisa,pesquisa,0,165,487.0000,0.182059,0.030475
parcial,parcial,3,30,151.0000,0.003092,0.010520
parte,parte,2,42,183.0000,0.004020,0.011407
vocabulario,vocabulario,3,31,108.0000,0.000722,0.008127
problema,problema,5,25,50.0000,0.000000,0.004593
torna,torna,4,29,86.0000,0.000000,0.006449
compreender,compreender,5,21,54.0000,0.000000,0.004851
responsabilidade,responsabilidade,4,20,61.0000,0.000412,0.005465
tornou,tornou,3,18,50.0000,0.000000,0.004623
maquina,maquina,3,58,149.0000,0.008246,0.010345
sistemas,sistemas,5,32,78.0000,0.006184,0.006479
rede,rede,4,153,455.0000,0.159847,0.028505
produz,produz,2,21,77.0000,0.006494,0.006116
regra,regra,3,14,82.0000,0.006390,0.006390
computacao,computacao,1,25,109.0000,0.000412,0.007948
claude,claude,2,117,485.0000,0.175256,0.029019
producao,producao,0,19,55.0000,0.001443,0.004757
constituem,constituem,4,17,56.0000,0.000206,0.004931
distribuida,distribuida,4,26,148.0000,0.001443,0.010383
dado,dado,1,59,203.0000,0.063286,0.013371
infraestrutura,infraestrutura,3,21,83.0000,0.005669,0.006687
humano,humano,3,113,301.0000,0.089466,0.019798
metodo,metodo,3,69,195.0000,0.009895,0.013575
termos,termos,2,27,110.0000,0.001082,0.008312
cadeia,cadeia,4,24,92.0000,0.000412,0.007037
ator,ator,4,40,161.0000,0.003092,0.010507
